Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
UVXY,13957860,0,0.00,0,0.00,4.17,13526750,431110
VXX,3020205,0,0.00,0,0.00,38.17,2899673,120532
VIXY,1851982,0,0.00,0,0.00,7.88,1781162,70820
ARKG,1501875,0,0.00,0,0.00,77.00,1498289,3586
SVXY,1233606,0,0.00,0,0.00,49.78,1182866,50740
IEFA,1016387,0,0.00,0,0.00,75.54,994512,21875
RSX,779423,0,0.00,0,0.00,27.25,774798,4625
EZU,692546,0,0.00,0,0.00,49.99,671890,20656
ITB,509950,0,0.00,0,0.00,72.83,487092,22858
IGV,497071,0,0.00,0,0.00,342.30,491943,5128
INDA,472269,0,0.00,0,0.00,42.44,466817,5452
USMV,328823,0,0.00,0,0.00,72.64,317939,10884
MTUM,314773,0,0.00,0,0.00,163.92,313438,1335
ARKQ,279906,0,0.00,0,0.00,77.91,279493,413
PAVE,279530,0,0.00,0,0.00,26.81,262751,16779
BBEU,218164,0,0.00,0,0.00,59.04,176378,41786
VLUE,191785,0,0.00,0,0.00,106.29,187533,4252
EFV,190215,0,0.00,0,0.00,53.65,182404,7811
CBOE,174774,0,0.00,0,0.00,114.17,172383,2391
GOVT,174401,0,0.00,0,0.00,26.30,174132,269
JPST,137046,0,0.00,0,0.00,50.74,137046,0
ECH,124627,0,0.00,0,0.00,32.55,124135,492
IDV,114937,0,0.00,0,0.00,33.58,110433,4504
QUAL,109153,0,0.00,0,0.00,127.97,106873,2280
EFAV,106479,0,0.00,0,0.00,75.17,103983,2496
REM,97311,0,0.00,0,0.00,36.26,96516,795
IYZ,84453,0,0.00,0,0.00,33.69,84053,400
PICK,73317,0,0.00,0,0.00,48.26,72593,724
BBJP,72565,0,0.00,0,0.00,55.69,66360,6205
IGE,66583,0,0.00,0,0.00,30.87,66283,300
SVAL,60284,0,0.00,0,0.00,32.35,54134,6150
NOBL,57509,0,0.00,0,0.00,92.59,56478,1031
USHY,57203,0,0.00,0,0.00,41.24,56802,401
HYD,54846,0,0.00,0,0.00,62.67,54024,822
ARKX,53305,0,0.00,0,0.00,19.82,52642,663
FBCV,51305,0,0.00,0,0.00,28.97,51305,0
FLOT,49531,0,0.00,0,0.00,50.78,49531,0
ITA,46288,0,0.00,0,0.00,105.97,42606,3682
ICSH,44512,0,0.00,0,0.00,50.49,44112,400
